sectionKey,sectionTitle,id,idxLabel,brand,price,imgSrc,artsyName,artsyDesc,cuePalette,cueSurface,cueStructure,cueAccent
GROUND,Ground,item-68,[68],The Attico,1810 EUR,/mock/GROUND/P01106285 Background Removed.png,Emerald Radiance,"Metallic green leather forms a sharply defined structure, the surface reflecting light with a high gloss. Ankle straps, secured by buckles, bisect the open toe, creating a tension between constraint and exposure, while the cylindrical heels rise with a lacquered finish.","Chartreuse, Lime, Jade","Metallic Sheen, High Gloss","Sculpted Heel, Open Toe","Ankle Strap, Bold Curve"
GROUND,Ground,item-69,[69],Etro,1000 EUR,/mock/GROUND/P01125177 Background Removed.png,Paisley Cascade,"A slim, elongated form is draped in pure silk jacquard, its surface alive with a repeating motif in shades of ebony, gold, and sapphire. Fringed edges define the perimeter of the material, accentuating its fluid drape and intricate detail.","Ebony, Gold, Sapphire","Silk Jacquard, Fluid Drape","Elongated Form, Repeating Motif","Intricate Detail, Fringed Edges"
GROUND,Ground,item-70,[70],Blumarine,3380 EUR,/mock/GROUND/P01128250 Background Removed.png,Autumnal Embrace,"Dense shearling, a combination of chestnut, tawny, and umber tones, creates a shaggy texture and rounded silhouette. An open front reveals a polyester lining beneath the substantial pile, contrasting with the hook-fastening closure.","Chestnut, Tawny, Umber","Dense Pile, Shaggy Texture","Rounded Silhouette, Compact Form","High Collar, Open Front"
GROUND,Ground,item-71,[71],Asceno,1990 EUR,/mock/GROUND/P01130192 Background Removed.png,Verdant Cascade,"Crinkled linen, in varying shades of emerald and chartreuse, falls in a fluid drape, gathering at the neckline and expanding to a voluminous hem. Tiered ruffles accentuate the silhouette, creating a sense of airy movement.","Emerald, Chartreuse, Lime","Crinkled Linen, Fluid Drape","Gathered Neckline, Voluminous Hem","Tiered Ruffle, Halter Style"
GROUND,Ground,item-72,[72],Brunello Cucinelli,1190 EUR,/mock/GROUND/P01158548 Background Removed.png,Coastal Drift,"Smooth suede, in tones of stone and taupe, forms a low profile with a rounded toe. Shearling, both as trim and lining, offers a soft nap, while signature Monili beads provide subtle texture and a delicate sheen.","Stone, Taupe, Sand","Suede Grain, Soft Nap","Low Profile, Rounded Toe","Shearling Trim, Lace Closure"
GROUND,Ground,item-73,[73],Winnie New York,2580 EUR,/mock/GROUND/P01166664 Background Removed.png,Washed Horizon,"Pale indigo and sky blue cotton composes a relaxed form, marked by patchwork panels and raw edges. Visible topstitching delineates the straight legs, and utility pockets punctuate the faded denim surface.","Pale Indigo, Sky Blue","Faded Denim, Raw Edge","Straight Leg, Relaxed Fit","Patchwork Panels, Utility Pockets"
GROUND,Ground,item-74,[74],Balenciaga,1130 EUR,/mock/GROUND/P01170520 Background Removed.png,Rosy Bloom,"A compact silhouette is constructed from a bouclé knit, its surface dense with a subtle sheen in shades of pale rose and cream. The defined waist contrasts with the textured surface, creating a contained form.","Pale Rose, Cream, Blush","Bouclé Knit, Dense Pile","Compact Silhouette, Defined Waist","Textured Surface, Subtle Sheen"
GROUND,Ground,item-75,[75],Zegna,1990 EUR,/mock/GROUND/P01100969%20Background%20Removed.png,Urban Drift,"A streamlined profile is achieved through the combination of fabric and smooth leather, presented in charcoal, stone, and off-white. A low profile is emphasized by minimalist lines and a contrasting sole, while triple-crossed elastics define the structure.","Charcoal, Stone, Off White","Suede Upper, Smooth Leather","Streamlined Profile, Low Profile","Contrast Sole, Minimalist Lines"
ARTIFACTS,Artifacts,item-76,[76],Givenchy,4140 EUR,/mock/ARTIFACTS/P01123273 Background Removed.png,Ebony Geometry,"Dark brown calfskin defines an architectural form with rigid volume, its smooth, fine grain surface accented by gold-toned hardware. Sculpted handles and an adjustable, detachable shoulder strap complete the structure.","Deep Espresso, Polished Ebony","Smooth Calfskin, Fine Grain","Architectural Form, Rigid Volume","Gold Hardware, Sculpted Handles"
ARTIFACTS,Artifacts,item-77,[77],Dolce&Gabbana,3490 EUR,/mock/ARTIFACTS/P01132479 Background Removed.png,Shadow Play,"Stretch-fused fabric, in jet black, adheres to the body in a second skin fit, punctuated by asymmetric lines and exposed zippers. Cutout details disrupt the surface, revealing glimpses of the form beneath.","Jet Black, Onyx","Stretch Knit, Supple Finish","Second Skin Fit, Cutout Details","Asymmetric Lines, Exposed Zippers"
ARTIFACTS,Artifacts,item-78,[78],Valentino Garavani,2050 EUR,/mock/ARTIFACTS/P01133354 Background Removed.png,Nocturnal Garden,"Jet black calf leather forms a delicate structure, secured by a buckle around the ankle. A glossy sheen coats the surface, punctuated by crystal embellishments arranged in a floral motif, evoking a sense of contained opulence.","Jet, Crimson, Pearl","Patent Leather, Glossy Sheen","Delicate Straps, Stiletto Heel","Crystal Embellishments, Floral Motif"
ARTIFACTS,Artifacts,item-79,[79],Oscar de la Renta,3720 EUR,/mock/ARTIFACTS/P01137970 Background Removed.png,Solar Radiance,"A luminous yellow wool-blend fabric drapes with a smooth satin surface and a crepe-like backing. The fitted bodice gives way to flared sleeves, creating a volume that suggests a fleeting, honeyed warmth.","Lemon, Butter, Honeyed Gold","Smooth Satin, Crepe Back","Fitted Bodice, Flared Sleeves","Draped Volume, Keyhole Neckline"
ARTIFACTS,Artifacts,item-80,[80],Fusalp,3500 EUR,/mock/ARTIFACTS/P01146020 Background Removed.png,Subtle Descent,"Sleek jersey, a fine gauge knit, clings to a streamlined form in shades of onyx and charcoal. A metallic zip bisects the structure, offering a minimalist point of access.","Onyx, Charcoal, Graphite","Fine Gauge Knit, Sleek Jersey","Streamlined Silhouette, Fitted Form","Metallic Zip, Minimalist Closure"
ARTIFACTS,Artifacts,item-81,[81],Isabel Marant,1990 EUR,/mock/ARTIFACTS/P01151191 Background Removed.png,Worn Horizon,"Organic cotton, washed to an ink wash and stone grey, exhibits a distressed surface with raw edges. Exposed hardware punctuates the low rise and relaxed waist, suggesting a casual, utilitarian strength.","Ink Wash, Stone Grey, Faded Black","Distressed Denim, Raw Edge","Low Rise, Relaxed Waist","Exposed Hardware, Zippered Fly"
ARTIFACTS,Artifacts,item-82,[82],Victoria Beckham,4140 EUR,/mock/ARTIFACTS/P01156567 Background Removed.png,Verdant Field,"A textured weave of viscose and a trace of elastane creates a crisp twill, dyed in shades of lime and chartreuse. A pressed crease defines the straight leg and high waist, establishing a tailored formality.","Lime, Chartreuse, Jade","Textured Weave, Crisp Twill","Straight Leg, High Waist","Pressed Crease, Tailored Finish"
ARTIFACTS,Artifacts,item-83,[83],Loro Piana,3490 EUR,/mock/ARTIFACTS/P01173315 Background Removed.png,Ivory Cascade,"Cotton, silk, wool, linen, viscose, and polyester intertwine in a quilted texture, draping softly in shades of ecru and cream. A braided drawstring cinches the gathered waist, offering a delicate relief to the volume.","Ecru, Cream, Pearl","Quilted Texture, Soft Drape","Wide Leg, Gathered Waist","Braided Drawstring, Delicate Relief"
ARTIFACTS,Artifacts,item-84,[84],Alex Perry,2050 EUR,/mock/ARTIFACTS/P01118119 Background Removed.png,Burnt Horizon,"Grained leather, in shades of umber and sable, forms a compact silhouette with a defined waist. Subtle creasing and a raw edge suggest a history of wear, a suppleness earned over time.","Charcoal, Umber, Sable","Distressed Grain, Supple Sheen","Defined Waist, Compact Form","Subtle Creasing, Raw Edge"
